-15.00 -7.00 8.56970429E+00
-14.50 -7.00 8.56970429E+00
-14.00 -7.00 8.56970429E+00
-13.50 -7.00 8.56970429E+00
-13.00 -7.00 8.56970429E+00
-12.50 -7.00 8.56970429E+00
-12.00 -7.00 8.56970429E+00
-11.50 -7.00 8.56970429E+00
-11.00 -7.00 8.56970429E+00
-10.50 -7.00 8.56970429E+00
-10.00 -7.00 8.56970429E+00
-9.50 -7.00 8.56970429E+00
-9.00 -7.00 8.56970429E+00
-8.50 -7.00 8.56970429E+00
-8.00 -7.00 8.56970429E+00
-7.50 -7.00 8.56970429E+00
-7.00 -7.00 8.56970429E+00
-6.50 -7.00 8.56970429E+00
-6.00 -7.00 8.56970429E+00
-5.50 -7.00 8.56970429E+00
-5.00 -7.00 8.56970429E+00
-4.50 -7.00 8.56970429E+00
-4.00 -7.00 8.56970429E+00
-3.50 -7.00 8.56970429E+00
-3.00 -7.00 8.56970429E+00
-2.50 -7.00 8.56970429E+00
-2.00 -7.00 8.56970429E+00
-1.50 -7.00 8.56970429E+00
-1.00 -7.00 8.56970429E+00
-0.50 -7.00 8.56970429E+00
+0.00 -7.00 8.56970429E+00
+0.50 -7.00 8.56970429E+00
+1.00 -7.00 8.56970429E+00
+1.50 -7.00 8.56970429E+00
+2.00 -7.00 8.56970429E+00
+2.50 -7.00 8.56970429E+00
+3.00 -7.00 8.56970429E+00
+3.50 -7.00 8.56970429E+00
+4.00 -7.00 8.56970429E+00
+4.50 -7.00 8.56970429E+00
+5.00 -7.00 8.56970429E+00
+5.50 -7.00 8.56970429E+00
+6.00 -7.00 8.56970429E+00
+6.50 -7.00 8.56970429E+00
+7.00 -7.00 8.56970429E+00
+7.50 -7.00 8.56970429E+00
+8.00 -7.00 8.56970429E+00
+8.50 -7.00 8.56970429E+00
+9.00 -7.00 8.56970429E+00
+9.50 -7.00 8.56970429E+00
+10.00 -7.00 8.56970429E+00
+10.50 -7.00 8.56970429E+00
+11.00 -7.00 8.56970429E+00
+11.50 -7.00 8.56970429E+00
+12.00 -7.00 8.56970429E+00
+12.50 -7.00 8.56970429E+00
+13.00 -7.00 8.56970429E+00
-15.00 -6.75 8.56970429E+00
-14.50 -6.75 8.56970429E+00
-14.00 -6.75 8.56970429E+00
-13.50 -6.75 8.56970429E+00
-13.00 -6.75 8.56970429E+00
-12.50 -6.75 8.56970429E+00
-12.00 -6.75 8.56970429E+00
-11.50 -6.75 8.56970429E+00
-11.00 -6.75 8.56970429E+00
-10.50 -6.75 8.56970429E+00
-10.00 -6.75 8.56970429E+00
-9.50 -6.75 8.56970429E+00
-9.00 -6.75 8.56970429E+00
-8.50 -6.75 8.56970429E+00
-8.00 -6.75 8.56970429E+00
-7.50 -6.75 8.56970429E+00
-7.00 -6.75 8.56970429E+00
-6.50 -6.75 8.56970429E+00
-6.00 -6.75 8.56970429E+00
-5.50 -6.75 8.56970429E+00
-5.00 -6.75 8.56970429E+00
-4.50 -6.75 8.56970429E+00
-4.00 -6.75 8.56970429E+00
-3.50 -6.75 8.56970429E+00
-3.00 -6.75 8.56970429E+00
-2.50 -6.75 8.56970429E+00
-2.00 -6.75 8.56970429E+00
-1.50 -6.75 8.56970429E+00
-1.00 -6.75 8.56970429E+00
-0.50 -6.75 8.56970429E+00
+0.00 -6.75 8.56970429E+00
+0.50 -6.75 8.56970429E+00
+1.00 -6.75 8.56970429E+00
+1.50 -6.75 8.56970429E+00
+2.00 -6.75 8.56970429E+00
+2.50 -6.75 8.56970429E+00
+3.00 -6.75 8.56970429E+00
+3.50 -6.75 8.56970429E+00
+4.00 -6.75 8.56970429E+00
+4.50 -6.75 8.56970429E+00
+5.00 -6.75 8.56970429E+00
+5.50 -6.75 8.56970429E+00
+6.00 -6.75 8.56970429E+00
+6.50 -6.75 8.56970429E+00
+7.00 -6.75 8.56970429E+00
+7.50 -6.75 8.56970429E+00
+8.00 -6.75 8.56970429E+00
+8.50 -6.75 8.56970429E+00
+9.00 -6.75 8.56970429E+00
+9.50 -6.75 8.56970429E+00
+10.00 -6.75 8.56970429E+00
+10.50 -6.75 8.56970429E+00
+11.00 -6.75 8.56970429E+00
+11.50 -6.75 8.56970429E+00
+12.00 -6.75 8.56970429E+00
+12.50 -6.75 8.56970429E+00
+13.00 -6.75 8.56970429E+00
-15.00 -6.50 8.56970429E+00
-14.50 -6.50 8.56970429E+00
-14.00 -6.50 8.56970429E+00
-13.50 -6.50 8.56970429E+00
-13.00 -6.50 8.56970429E+00
-12.50 -6.50 8.56970429E+00
-12.00 -6.50 8.56970429E+00
-11.50 -6.50 8.56970429E+00
-11.00 -6.50 8.56970429E+00
-10.50 -6.50 8.56970429E+00
-10.00 -6.50 8.56970429E+00
-9.50 -6.50 8.56970429E+00
-9.00 -6.50 8.56970429E+00
-8.50 -6.50 8.56970429E+00
-8.00 -6.50 8.56970429E+00
-7.50 -6.50 8.56970429E+00
-7.00 -6.50 8.56970429E+00
-6.50 -6.50 8.56970429E+00
-6.00 -6.50 8.56970429E+00
-5.50 -6.50 8.56970429E+00
-5.00 -6.50 8.56970429E+00
-4.50 -6.50 8.56970429E+00
